11,134,184
0,35
0,36
0,37
1,39
2,34
2,35
2,36
2,37
3,22
3,28
4,22
4,27
4,29
4,30
5,20
5,21
5,22
5,29
5,30
6,19
6,20
6,27
6,29
6,30
6,31
6,32
7,29
7,30
7,31
7,32
8,25
8,30
8,32
8,33
9,0
10,0
10,8
10,9
10,10
10,12
10,27
10,28
11,4
11,5
11,7
11,8
11,9
11,28
11,30
12,1
12,2
12,3
12,4
12,8
12,9
12,10
13,3
13,4
13,5
13,6
14,1
14,2
14,3
14,4
14,11
15,1
15,11
15,22
16,11
16,23
17,11
18,11
18,14
18,15
18,16
19,12
19,14
19,15
19,16
19,17
19,21
19,29
19,30
19,31
19,32
20,31
20,32
